antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,is_disease_target
frozenset({'TARGET_Gag-Pol_polyprotein'}),"frozenset({'DISEASE_C0019693', 'TARGET_Reverse_transcriptase/RNaseH'})",0.004814690404210055,0.0021274213413951405,0.0021274213413951405,0.441860465116279,207.69767441860463,1.0,0.0021171784662770135,1.7878550367633335,0.9999999999999998,0.441860465116279,0.44067053567700715,0.7209302325581395,True
frozenset({'TARGET_Pol_polyprotein'}),frozenset({'DISEASE_C0019693'}),0.0013436345314074571,0.004030903594222372,0.0011196954428395476,0.8333333333333333,206.7361111111111,1.0,0.0011142793815775759,5.975814578434663,0.996501849983182,0.2631578947368421,0.8326587970770095,0.5555555555555555,True
"frozenset({'TARGET_Reverse_transcriptase/RNaseH', 'TARGET_Gag-Pol_polyprotein'})",frozenset({'DISEASE_C0019693'}),0.0025752995185309596,0.004030903594222372,0.0021274213413951405,0.8260869565217391,204.93840579710144,1.0,0.002117040557309695,5.726822304333221,0.9976898352752109,0.47500000000000003,0.825383092602097,0.6769323671497585,True
"frozenset({'TARGET_Pol_polyprotein', 'TARGET_Gag-Pol_polyprotein'})",frozenset({'DISEASE_C0019693'}),0.0012316649871235024,0.004030903594222372,0.001007725898555593,0.8181818181818181,202.97727272727272,1.0,0.001002761175732119,5.477830030231775,0.9963004484304933,0.2368421052631579,0.8174459604476467,0.5340909090909091,True
"frozenset({'TARGET_5-hydroxytryptamine_receptor_1A', 'TARGET_5-hydroxytryptamine_receptor_1F'})",frozenset({'DISEASE_C0149931'}),0.001455604075691412,0.0026872690628149142,0.0007837868099876833,0.5384615384615384,200.375,1.0,0.0007798752101873705,2.1608442503639007,0.9964598084131612,0.23333333333333334,0.5372179184910744,0.41506410256410253,True
frozenset({'TARGET_Reverse_transcriptase/RNaseH'}),frozenset({'DISEASE_C0019693'}),0.0026872690628149142,0.004030903594222372,0.0021274213413951405,0.7916666666666666,196.39930555555554,1.0,0.002116589218871197,4.780651662747731,0.9975891226888373,0.4634146341463415,0.7908234963462619,0.6597222222222222,True
frozenset({'TARGET_Solute_carrier_family_12_member_1'}),frozenset({'DISEASE_C0013604'}),0.002463329974247005,0.001903482252827231,0.0008957563542716381,0.36363636363636365,191.03743315508024,1.0,0.0008910674493828015,1.5684373850312716,0.9972219104276573,0.2580645161290323,0.3624227466498052,0.41711229946524064,True
frozenset({'TARGET_Gag-Pol_polyprotein'}),frozenset({'DISEASE_C0019693'}),0.004814690404210055,0.004030903594222372,0.0035830254170865525,0.7441860465116279,184.6201550387597,1.0,0.0035636178642311543,3.8933337404953123,0.9993952520252025,0.6808510638297873,0.7431507117926193,0.8165374677002584,True
"frozenset({'TARGET_Polyunsaturated_fatty_acid_5-lipoxygenase', 'TARGET_Peroxisome_proliferator-activated_receptor_gamma'})",frozenset({'DISEASE_C0009324'}),0.0015675736199753667,0.002015451797111186,0.0005598477214197738,0.35714285714285715,177.20238095238096,1.0,0.0005566883523502904,1.552420408315605,0.9959179096108558,0.18518518518518517,0.3558445929701399,0.31746031746031744,True
frozenset({'TARGET_ATP-sensitive_inward_rectifier_potassium_channel_10'}),frozenset({'DISEASE_C0011860'}),0.0007837868099876833,0.006046355391333557,0.0007837868099876833,1.0,165.38888888888889,1.0,0.0007790477563834582,inf,0.9947333034513671,0.12962962962962962,1.0,0.5648148148148148,True
"frozenset({'TARGET_ATP-binding_cassette_sub-family_C_member_8', 'TARGET_ATP-sensitive_inward_rectifier_potassium_channel_10'})",frozenset({'DISEASE_C0011860'}),0.0005598477214197738,0.006046355391333557,0.0005598477214197738,1.0,165.38888888888889,1.0,0.0005564626831310415,inf,0.9945104190006722,0.09259259259259259,1.0,0.5462962962962963,True
