DrugBank_ID,Drug_Name,Predicted_Disease_ID,Predicted_Disease_Name,Matched_Targets,Bridging_Genes,Rule_Confidence,Rule_Growth_Rate,Validation_Status
DB04152,"2-Amino-3-(3-Hydroxy-7,8-Dihydro-6h-Cyclohepta[D]-4-Isoxazolyl)Propionic Acid",C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB04129,Willardiine,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB04000,Bromo-Willardiine,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB03759,FG-9041,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB01346,Quinidine barbiturate,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB04982,Talampanel,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB06579,Adipiplon,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3,间接机制,1.0,20.80722891566265,🌟 零样本全新发现
DB00395,Carisoprodol,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3,间接机制,1.0,20.80722891566265,🌟 零样本全新发现
DB02530,gamma-Aminobutyric acid,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3,间接机制,1.0,20.80722891566265,🌟 零样本全新发现
DB05454,Paliroden,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB20802,Alpidem,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB21038,Bretazenil,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB02999,Quisqualic acid,C0917801,Sleeplessness,"TARGET_Glutamate_receptor_ionotropic,_kainate_2",间接机制,1.0,inf,🌟 零样本全新发现
DB00683,Midazolam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB00628,Clorazepic acid,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB00546,Adinazolam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB21275,Panadiplon,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB20375,Ripazepam,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB19929,Divaplon,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-1,间接机制,1.0,24.590361445783135,🌟 零样本全新发现
DB05047,CX-717,C0917801,Sleeplessness,TARGET_Glutamate_receptor_2,间接机制,1.0,inf,🌟 零样本全新发现
DB04903,Pagoclone,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3,间接机制,1.0,20.80722891566265,🌟 零样本全新发现
DB12210,AZD-6280,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3,间接机制,1.0,20.80722891566265,🌟 零样本全新发现
DB00542,Benazepril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,✅ Spark验证集完美命中
DB09238,Manidipine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB00519,Trandolapril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,✅ Spark验证集完美命中
DB09239,Niguldipine,C0020538,Hypertensive disease,TARGET_Voltage-dependent_L-type_calcium_channel_subunit_alpha-1C,间接机制,1.0,inf,🌟 零样本全新发现
DB12743,Z-160,C0020538,Hypertensive disease,TARGET_Voltage-dependent_calcium_channel_subunit_alpha-2/delta-1,间接机制,1.0,inf,🌟 零样本全新发现
DB00178,Ramipril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,✅ Spark验证集完美命中
DB13993,MRK-409,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3,间接机制,1.0,20.80722891566265,🌟 零样本全新发现
DB04286,beta-D-Ribopyranose,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB03740,N-acetyl-alpha-D-glucosamine,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB02032,Epicaptopril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB01340,Cilazapril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,✅ Spark验证集完美命中
DB01180,Rescinnamine,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB01089,Deserpidine,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB00886,Omapatrilat,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB00790,Perindopril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,✅ Spark验证集完美命中
DB00616,Candoxatril,C0020538,Hypertensive disease,TARGET_Angiotensin-converting_enzyme,间接机制,1.0,inf,🌟 零样本全新发现
DB11365,Sennosides,C0019693,HIV Infections,TARGET_Reverse_transcriptase/RNaseH,AQP3,1.0,30.26506024096386,🌟 零样本全新发现
DB12753,Racivir,C0019693,HIV Infections,TARGET_Reverse_transcriptase/RNaseH,间接机制,1.0,30.26506024096386,🌟 零样本全新发现
DB13994,AZD-7325,C0917801,Sleeplessness,TARGET_Gamma-aminobutyric_acid_receptor_subunit_alpha-3,间接机制,1.0,20.80722891566265,🌟 零样本全新发现
DB12470,Dexelvucitabine,C0019693,HIV Infections,TARGET_Reverse_transcriptase/RNaseH,间接机制,1.0,30.26506024096386,🌟 零样本全新发现
DB07935,"5-[(5-fluoro-3-methyl-1H-indazol-4-yl)oxy]benzene-1,3-dicarbonitrile",C0019693,HIV Infections,TARGET_Reverse_transcriptase/RNaseH,间接机制,1.0,30.26506024096386,🌟 零样本全新发现
DB00801,Halazepam,C0917801,Sleeplessness,TARGET_Translocator_protein,间接机制,1.0,inf,🌟 零样本全新发现
DB20592,Pumaprazole,C0030920,Peptic Ulcer,TARGET_Potassium-transporting_ATPase_alpha_chain_1,ATP4A,1.0,inf,🌟 零样本全新发现
DB17856,Soraprazan,C0030920,Peptic Ulcer,TARGET_Potassium-transporting_ATPase_alpha_chain_1,ATP4A,1.0,inf,🌟 零样本全新发现
DB11739,Vonoprazan,C0030920,Peptic Ulcer,TARGET_Potassium-transporting_ATPase_alpha_chain_1,ATP4A,1.0,inf,🌟 零样本全新发现
